"rank","gene","knockout_impact_score","module","description","gene_biotype","chromosome_name","start_position","end_position","go_bp_ids","go_bp_terms","n_go_bp","go_mf_ids","go_mf_terms","n_go_mf","was_uncharacterised","now_annotated"
119,"BTG2",0.401073100859291,"apoptosis","BTG anti-proliferation factor 2","protein_coding","1",203305491,203309602,"GO:0008285; GO:0017148; GO:0031175; GO:0006281; GO:0006974; GO:0060213; GO:0007405; GO:0061351; GO:0000122; GO:0007406; GO:0008306; GO:0009952; GO:0021542; GO:0021954; GO:0030182; GO:0035914; GO:0043066; GO:0009612; GO:0043434; GO:0043524; GO:0051602; GO:1904628","negative regulation of cell population proliferation; negative regulation of translation; neuron projection development; DNA repair; DNA damage response; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening; neuroblast proliferation; neural precursor cell proliferation; negative regulation of transcription by RNA polymerase II; negative regulation of neuroblast proliferation; associative learning; anterior/posterior pattern specification; dentate gyrus development; central nervous system neuron development; neuron differentiation; skeletal muscle cell differentiation; negative regulation of apoptotic process; response to mechanical stimulus; response to peptide hormone; negative regulation of neuron apoptotic process; response to electrical stimulus; cellular response to phorbol 13-acetate 12-myristate",22,"GO:0005515; GO:0003714","protein binding; transcription corepressor activity",2,FALSE,FALSE
120,"GRAMD1C",0.387179677832508,"metabolism","GRAM domain containing 1C","protein_coding","3",113828182,113947179,"GO:0006869; GO:0071397; GO:0032366","lipid transport; cellular response to cholesterol; intracellular sterol transport",3,"GO:0005515; GO:0008289; GO:0015485","protein binding; lipid binding; cholesterol binding",3,FALSE,FALSE
121,"DUSP2",0.387162149412648,"signalling","dual specificity phosphatase 2","protein_coding","2",96143166,96145440,"GO:0006470; GO:0016311; GO:0007165; GO:0043409; GO:0001706","protein dephosphorylation; dephosphorylation; signal transduction; negative regulation of MAPK cascade; endoderm formation",5,"GO:0004721; GO:0016787; GO:0004722; GO:0004725; GO:0005515; GO:0008330; GO:0051019","phosphoprotein phosphatase activity; hydrolase activity; protein serine/threonine phosphatase activity; protein tyrosine phosphatase activity; protein binding; protein tyrosine/threonine phosphatase activity; mitogen-activated protein kinase binding",7,FALSE,FALSE
122,"HECW2",0.378525983102877,"uncharacterised","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2","protein_coding","2",196189099,196593684,"GO:0016567; GO:0006511; GO:0048814; GO:0030071","protein ubiquitination; ubiquitin-dependent protein catabolic process; regulation of dendrite morphogenesis; regulation of mitotic metaphase/anaphase transition",4,"GO:0005515; GO:0004842; GO:0016740; GO:0061630","protein binding; ubiquitin-protein transferase activity; transferase activity; ubiquitin protein ligase activity",4,TRUE,TRUE
123,"ZNF107",0.375090759644376,"uncharacterised","zinc finger protein 107","protein_coding","7",64666099,64711577,"GO:0000122; GO:0006357; GO:0006355","negative regulation of transcription by RNA polymerase II; regulation of transcription by RNA polymerase II; regulation of DNA-templated transcription",3,"GO:0046872; GO:0003677; GO:0005515; GO:0008270","metal ion binding; DNA binding; protein binding; zinc ion binding",4,TRUE,TRUE
124,"MARCKS",0.370657567967007,"signalling","myristoylated alanine rich protein kinase C substrate","protein_coding","6",113857345,113863475,"GO:0007015; GO:0007417; GO:0006915; GO:0007005; GO:0021915; GO:0022008; GO:0034976; GO:0051017; GO:0051764","actin filament organization; central nervous system development; apoptotic process; mitochondrion organization; neural tube development; neurogenesis; response to endoplasmic reticulum stress; actin filament bundle assembly; actin crosslink formation",9,"GO:0005516; GO:0003779; GO:0051015; GO:0005080; GO:0042802","calmodulin binding; actin binding; actin filament binding; protein kinase C binding; identical protein binding",5,FALSE,FALSE
125,"NOV",0.344279383145257,"uncharacterised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
126,"CCDC19",0.343934066606524,"uncharacterised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
127,"IFRD1",0.333862138827189,"uncharacterised","interferon related developmental regulator 1","protein_coding","7",112422887,112481017,"GO:0030154; GO:0007518; GO:0006357; GO:0014706; GO:0016055; GO:0030517; GO:0042692; GO:0043403; GO:0045444; GO:0048671; GO:0060612","cell differentiation; myoblast fate determination; regulation of transcription by RNA polymerase II; striated muscle tissue development; Wnt signaling pathway; negative regulation of axon extension; muscle cell differentiation; skeletal muscle tissue regeneration; fat cell differentiation; negative regulation of collateral sprouting; adipose tissue development",11,NA,NA,NA,TRUE,TRUE
128,"RPGR",0.330447969980468,"uncharacterised","retinitis pigmentosa GTPase regulator","protein_coding","X",38269163,38327544,"GO:0010508; GO:0030030; GO:0007601; GO:0060271; GO:0044782; GO:0006511; GO:0016567; GO:0042073; GO:0006886; GO:0042462; GO:0097499","positive regulation of autophagy; cell projection organization; visual perception; cilium assembly; cilium organization; ubiquitin-dependent protein catabolic process; protein ubiquitination; intraciliary transport; intracellular protein transport; eye photoreceptor cell development; protein localization to non-motile cilium",11,"GO:0003723; GO:0005515; GO:0005085; GO:0061630","RNA binding; protein binding; guanyl-nucleotide exchange factor activity; ubiquitin protein ligase activity",4,TRUE,TRUE
129,"CTNS",0.321519709249178,"uncharacterised","cystinosin, lysosomal cystine transporter","protein_coding","17",3636459,3663103,"GO:0015031; GO:0007420; GO:0055085; GO:0048513; GO:0048731; GO:0042438; GO:0050890; GO:0046034; GO:1902600; GO:1903432; GO:0006749; GO:0015811; GO:0006520; GO:0006811; GO:0048021; GO:1902475; GO:0002088; GO:0007616; GO:0007625; GO:0007628; GO:1904263","protein transport; brain development; transmembrane transport; animal organ development; system development; melanin biosynthetic process; cognition; ATP metabolic process; proton transmembrane transport; regulation of TORC1 signaling; glutathione metabolic process; L-cystine transport; amino acid metabolic process; monoatomic ion transport; regulation of melanin biosynthetic process; L-alpha-amino acid transmembrane transport; lens development in camera-type eye; long-term memory; grooming behavior; adult walking behavior; positive regulation of TORC1 signaling",21,"GO:0015293; GO:0015184; GO:0015295; GO:0005515; GO:0015179","symporter activity; L-cystine transmembrane transporter activity; solute:proton symporter activity; protein binding; L-amino acid transmembrane transporter activity",5,TRUE,TRUE
130,"LOC100507006",0.31684743185333,"uncharacterised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
131,"DNAJB1",0.306855045272406,"apoptosis","DnaJ heat shock protein family (Hsp40) member B1","protein_coding","19",14513789,14560391,"GO:0006457; GO:0000122; GO:0006986; GO:0090084; GO:0034605; GO:1900034; GO:1903334; GO:0030900","protein folding; negative regulation of transcription by RNA polymerase II; response to unfolded protein; negative regulation of inclusion body assembly; cellular response to heat; regulation of cellular response to heat; positive regulation of protein folding; forebrain development",8,"GO:0051082; GO:0005515; GO:0051087; GO:0003714; GO:0045296; GO:0001671; GO:0051117; GO:0030544; GO:0044183","unfolded protein binding; protein binding; protein-folding chaperone binding; transcription corepressor activity; cadherin binding; ATPase activator activity; ATPase binding; Hsp70 protein binding; protein folding chaperone",9,FALSE,FALSE
132,"SIPA1L1",0.303093210486615,"uncharacterised","signal induced proliferation associated 1 like 1","protein_coding","14",71320277,71741230,"GO:0051056; GO:0030036; GO:0050770; GO:0048167; GO:0048013; GO:0090630; GO:0043087; GO:0061001","regulation of small GTPase mediated signal transduction; actin cytoskeleton organization; regulation of axonogenesis; regulation of synaptic plasticity; ephrin receptor signaling pathway; activation of GTPase activity; regulation of GTPase activity; regulation of dendritic spine morphogenesis",8,"GO:0005515; GO:0005096; GO:0046875","protein binding; GTPase activator activity; ephrin receptor binding",3,TRUE,TRUE
133,"CAND1",0.280568513562416,"uncharacterised","cullin associated and neddylation dissociated 1","protein_coding","12",67269358,67319953,"GO:0010265; GO:0016567; GO:0030154; GO:0043086; GO:0045893","SCF complex assembly; protein ubiquitination; cell differentiation; negative regulation of catalytic activity; positive regulation of DNA-templated transcription",5,"GO:0005515","protein binding",1,TRUE,TRUE
134,"AGFG1",0.277557065303546,"uncharacterised","ArfGAP with FG repeats 1","protein_coding","2",227472134,227561217,"GO:0051028; GO:0030154; GO:0007283; GO:0045109; GO:0001675; GO:0007289; GO:0006406","mRNA transport; cell differentiation; spermatogenesis; intermediate filament organization; acrosome assembly; spermatid nucleus differentiation; mRNA export from nucleus",7,"GO:0005096; GO:0046872; GO:0003677; GO:0005515; GO:0008270; GO:0003723","GTPase activator activity; metal ion binding; DNA binding; protein binding; zinc ion binding; RNA binding",6,TRUE,TRUE
135,"SNRK",0.276280992447317,"uncharacterised","SNF related kinase","protein_coding","3",43286510,43424764,"GO:0006468; GO:0030099; GO:0051301","protein phosphorylation; myeloid cell differentiation; cell division",3,"GO:0005524; GO:0004672; GO:0016740; GO:0046872; GO:0000166; GO:0004674; GO:0016301","ATP binding; protein kinase activity; transferase activity; metal ion binding; nucleotide binding; protein serine/threonine kinase activity; kinase activity",7,TRUE,TRUE
136,"PPP1R12B",0.276162214408248,"signalling","protein phosphatase 1 regulatory subunit 12B","protein_coding","1",202348666,202592706,"GO:0007165; GO:0048812; GO:0006937","signal transduction; neuron projection morphogenesis; regulation of muscle contraction",3,"GO:0005515; GO:0019901; GO:0019208; GO:0004857; GO:0008047","protein binding; protein kinase binding; phosphatase regulator activity; enzyme inhibitor activity; enzyme activator activity",5,FALSE,FALSE
137,"RGL1",0.27556139859196,"signalling","ral guanine nucleotide dissociation stimulator like 1","protein_coding","1",183636085,183928532,"GO:0007165; GO:0007264; GO:0007265","signal transduction; small GTPase-mediated signal transduction; Ras protein signal transduction",3,"GO:0005085; GO:0005515","guanyl-nucleotide exchange factor activity; protein binding",2,FALSE,FALSE
138,"PDE3B",0.272546918954688,"uncharacterised","phosphodiesterase 3B","protein_coding","11",14643663,14874614,"GO:0007165; GO:0001525; GO:0016525; GO:0051896; GO:0106072; GO:0141162; GO:0008286; GO:0007186; GO:0033629; GO:0050995; GO:0045765; GO:0007162","signal transduction; angiogenesis; negative regulation of angiogenesis; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway; negative regulation of cAMP/PKA signal transduction; insulin receptor signaling pathway; G protein-coupled receptor signaling pathway; negative regulation of cell adhesion mediated by integrin; negative regulation of lipid catabolic process; regulation of angiogenesis; negative regulation of cell adhesion",12,"GO:0004114; GO:0008081; GO:0005515; GO:0016787; GO:0046872; GO:0004115; GO:0047555; GO:0043422","3',5'-cyclic-nucleotide phosphodiesterase activity; phosphoric diester hydrolase activity; protein binding; hydrolase activity; metal ion binding; 3',5'-cyclic-AMP phosphodiesterase activity; 3',5'-cyclic-GMP phosphodiesterase activity; protein kinase B binding",8,TRUE,TRUE
139,"DOCK4",0.264735146614961,"uncharacterised","dedicator of cytokinesis 4","protein_coding","7",111726110,112206407,"GO:0007264; GO:0060326; GO:1904754; GO:1904694","small GTPase-mediated signal transduction; cell chemotaxis; positive regulation of vascular associated smooth muscle cell migration; negative regulation of vascular associated smooth muscle contraction",4,"GO:0005085; GO:0005096; GO:0005515; GO:0031267; GO:0030971; GO:0030165","guanyl-nucleotide exchange factor activity; GTPase activator activity; protein binding; small GTPase binding; receptor tyrosine kinase binding; PDZ domain binding",6,TRUE,TRUE
140,"VPS18",0.262324923890194,"uncharacterised","VPS18 core subunit of CORVET and HOPS complexes","protein_coding","15",40894415,40903975,"GO:0006886; GO:0016192; GO:0006914; GO:0015031; GO:0007040; GO:0007032; GO:0008333; GO:0006904; GO:0034058; GO:0035542; GO:0016567; GO:0046718; GO:0033147; GO:0048284; GO:2000300","intracellular protein transport; vesicle-mediated transport; autophagy; protein transport; lysosome organization; endosome organization; endosome to lysosome transport; vesicle docking involved in exocytosis; endosomal vesicle fusion; regulation of SNARE complex assembly; protein ubiquitination; symbiont entry into host cell; negative regulation of intracellular estrogen receptor signaling pathway; organelle fusion; regulation of synaptic vesicle exocytosis",15,"GO:0046872; GO:0005515; GO:0008270; GO:0019905; GO:0030674; GO:0061630; GO:0003779","metal ion binding; protein binding; zinc ion binding; syntaxin binding; protein-macromolecule adaptor activity; ubiquitin protein ligase activity; actin binding",7,TRUE,TRUE
141,"ARF3",0.234718892976407,"uncharacterised","ARF GTPase 3","protein_coding","12",48935723,48957514,"GO:0015031; GO:0016192; GO:0006886; GO:0006890","protein transport; vesicle-mediated transport; intracellular protein transport; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",4,"GO:0003924; GO:0005525; GO:0000166; GO:0005515","GTPase activity; GTP binding; nucleotide binding; protein binding",4,TRUE,TRUE
142,"GPR27",0.227039084487357,"uncharacterised","G protein-coupled receptor 27","protein_coding","3",71753855,71756496,"GO:0007186; GO:0007165; GO:0035774; GO:1900738","G protein-coupled receptor signaling pathway; signal transduction; positive regulation of insulin secretion involved in cellular response to glucose stimulus; positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway",4,"GO:0004930","G protein-coupled receptor activity",1,TRUE,TRUE
143,"TKTL1",0.215722318297502,"metabolism","transketolase like 1","protein_coding","X",154295795,154330350,"GO:0006007; GO:0006772","glucose catabolic process; thiamine metabolic process",2,"GO:0016740; GO:0046872; GO:0004802; GO:0030976","transferase activity; metal ion binding; transketolase activity; thiamine pyrophosphate binding",4,FALSE,FALSE
144,"PTGDR",0.194144981260614,"uncharacterised","prostaglandin D2 receptor","protein_coding","14",52267698,52276724,"GO:0007186; GO:0007165; GO:0043303; GO:0006954; GO:0007204; GO:0030238; GO:0030431; GO:0046085; GO:0071799","G protein-coupled receptor signaling pathway; signal transduction; mast cell degranulation; inflammatory response; positive regulation of cytosolic calcium ion concentration; male sex determination; sleep; adenosine metabolic process; cellular response to prostaglandin D stimulus",9,"GO:0004930; GO:0004956; GO:0005515; GO:0001785","G protein-coupled receptor activity; prostaglandin D receptor activity; protein binding; prostaglandin J receptor activity",4,TRUE,TRUE
145,"PDE4B",0.19252694423606,"uncharacterised","phosphodiesterase 4B","protein_coding","1",65792514,66374579,"GO:0007165; GO:0006198; GO:0071222; GO:0141162; GO:1902514; GO:0030593; GO:0001780; GO:0050900; GO:0071872; GO:0071878; GO:0086004; GO:0071466; GO:0050852; GO:1901898","signal transduction; cAMP catabolic process; cellular response to lipopolysaccharide; negative regulation of cAMP/PKA signal transduction; regulation of calcium ion transmembrane transport via high voltage-gated calcium channel; neutrophil chemotaxis; neutrophil homeostasis; leukocyte migration; cellular response to epinephrine stimulus; negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway; regulation of cardiac muscle cell contraction; cellular response to xenobiotic stimulus; T cell receptor signaling pathway; negative regulation of relaxation of cardiac muscle",14,"GO:0004114; GO:0008081; GO:0016787; GO:0046872; GO:0005515; GO:0004115; GO:0044325; GO:0047555; GO:0005246; GO:0030552; GO:0043015","3',5'-cyclic-nucleotide phosphodiesterase activity; phosphoric diester hydrolase activity; hydrolase activity; metal ion binding; protein binding; 3',5'-cyclic-AMP phosphodiesterase activity; transmembrane transporter binding; 3',5'-cyclic-GMP phosphodiesterase activity; calcium channel regulator activity; cAMP binding; gamma-tubulin binding",11,TRUE,TRUE
146,"FUT6",0.183450745408057,"uncharacterised","fucosyltransferase 6","protein_coding","19",5830361,5839722,"GO:0006486; GO:0006629; GO:0006665; GO:0006688; GO:0006493; GO:0006487; GO:0009312; GO:0006672; GO:0007309","protein glycosylation; lipid metabolic process; sphingolipid metabolic process; glycosphingolipid biosynthetic process; protein O-linked glycosylation; protein N-linked glycosylation; oligosaccharide biosynthetic process; ceramide metabolic process; oocyte axis specification",9,"GO:0008417; GO:0016740; GO:0016757; GO:0046920","fucosyltransferase activity; transferase activity; glycosyltransferase activity; alpha-(1->3)-fucosyltransferase activity",4,TRUE,TRUE
147,"FASLG",0.182005676086224,"immune","Fas ligand","protein_coding","1",172659102,172666876,"GO:0006955; GO:0006915; GO:0043065; GO:0043123; GO:0000122; GO:0097191; GO:0007165; GO:0007267; GO:2001238; GO:0016525; GO:2000353; GO:0097527; GO:0097190; GO:0046666; GO:1903514; GO:0006925; GO:0008284; GO:0030644; GO:0032496; GO:0043525; GO:0045742; GO:0048388; GO:0070231; GO:0070848; GO:0071346; GO:1905782","immune response; apoptotic process; positive regulation of apoptotic process; positive regulation of canonical NF-kappaB signal transduction; negative regulation of transcription by RNA polymerase II; extrinsic apoptotic signaling pathway; signal transduction; cell-cell signaling; positive regulation of extrinsic apoptotic signaling pathway; negative regulation of angiogenesis; positive regulation of endothelial cell apoptotic process; necroptotic signaling pathway; apoptotic signaling pathway; retinal cell programmed cell death; release of sequestered calcium ion into cytosol by endoplasmic reticulum; inflammatory cell apoptotic process; positive regulation of cell population proliferation; intracellular chloride ion homeostasis; response to lipopolysaccharide; positive regulation of neuron apoptotic process; positive regulation of epidermal growth factor receptor signaling pathway; endosomal lumen acidification; T cell apoptotic process; response to growth factor; cellular response to type II interferon; positive regulation of phosphatidylserine exposure on apoptotic cell surface",26,"GO:0005515; GO:0005164; GO:0005102; GO:0005125; GO:0005123","protein binding; tumor necrosis factor receptor binding; signaling receptor binding; cytokine activity; death receptor binding",5,FALSE,FALSE
148,"ZNF230",0.172982811310551,"uncharacterised","zinc finger protein 230","protein_coding","19",44002934,44013924,"GO:0006355","regulation of DNA-templated transcription",1,"GO:0046872; GO:0003677; GO:0005515; GO:0008270; GO:0003700","metal ion binding; DNA binding; protein binding; zinc ion binding; DNA-binding transcription factor activity",5,TRUE,TRUE
149,"PPP1R15A",0.169986094691936,"signalling","protein phosphatase 1 regulatory subunit 15A","protein_coding","19",48872212,48876291,"GO:0006915; GO:0006417; GO:0051246; GO:0051726; GO:0034976; GO:0006974; GO:0006446; GO:0032058; GO:0036490; GO:0043558; GO:0070972; GO:1901798; GO:1903898","apoptotic process; regulation of translation; regulation of protein metabolic process; regulation of cell cycle; response to endoplasmic reticulum stress; DNA damage response; regulation of translational initiation; positive regulation of translational initiation in response to stress; regulation of translation in response to endoplasmic reticulum stress; regulation of translational initiation in response to stress; protein localization to endoplasmic reticulum; positive regulation of signal transduction by p53 class mediator; negative regulation of PERK-mediated unfolded protein response",13,"GO:0005515; GO:0019901; GO:0019888; GO:0008157; GO:0071074; GO:0072542","protein binding; protein kinase binding; protein phosphatase regulator activity; protein phosphatase 1 binding; eukaryotic initiation factor eIF2 binding; protein phosphatase activator activity",6,FALSE,FALSE
150,"RNF122",0.161427019305177,"uncharacterised","ring finger protein 122","protein_coding","8",33547754,33567170,"GO:0043065; GO:0051865; GO:0043161","positive regulation of apoptotic process; protein autoubiquitination; proteasome-mediated ubiquitin-dependent protein catabolic process",3,"GO:0046872; GO:0005515; GO:0008270; GO:0061630","metal ion binding; protein binding; zinc ion binding; ubiquitin protein ligase activity",4,TRUE,TRUE
151,"MCM9",0.146769207895194,"uncharacterised","minichromosome maintenance 9 homologous recombination repair factor","protein_coding","6",118813442,118935162,"GO:0006281; GO:0006974; GO:0007292; GO:0000724; GO:0071168; GO:0070716; GO:0007276","DNA repair; DNA damage response; female gamete generation; double-strand break repair via homologous recombination; protein localization to chromatin; mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication; gamete generation",7,"GO:0003677; GO:0005524; GO:0016887; GO:0016787; GO:0019899; GO:0000166; GO:0005515; GO:0004386; GO:0044877; GO:0003682; GO:0003678; GO:0003697; GO:0017116","DNA binding; ATP binding; ATP hydrolysis activity; hydrolase activity; enzyme binding; nucleotide binding; protein binding; helicase activity; protein-containing complex binding; chromatin binding; DNA helicase activity; single-stranded DNA binding; single-stranded DNA helicase activity",13,TRUE,TRUE
152,"TIGD3",0.142251523387271,"uncharacterised","tigger transposable element derived 3","protein_coding","11",65354751,65357613,NA,NA,NA,"GO:0003677; GO:0003676; GO:0005515","DNA binding; nucleic acid binding; protein binding",3,TRUE,TRUE
153,"PIK3R5",0.139559755411316,"immune","phosphoinositide-3-kinase regulatory subunit 5","protein_coding","17",8878911,8965726,"GO:0007186; GO:0051897; GO:0043491; GO:0046488; GO:0006955; GO:0043406","G protein-coupled receptor signaling pathway; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; phosphatidylinositol 3-kinase/protein kinase B signal transduction; phosphatidylinositol metabolic process; immune response; positive regulation of MAP kinase activity",6,"GO:0046935; GO:0016301; GO:0031683","1-phosphatidylinositol-3-kinase regulator activity; kinase activity; G-protein beta/gamma-subunit complex binding",3,FALSE,FALSE
154,"ACVR1B",0.131166067646177,"uncharacterised","activin A receptor type 1B","protein_coding","12",51951679,51997082,"GO:0006468; GO:0007178; GO:0010468; GO:0030334; GO:0051239; GO:0045596; GO:0032924; GO:0007399; GO:0038092; GO:0071363; GO:0046777; GO:0018107; GO:0097191; GO:0030279; GO:0030308; GO:0006355; GO:1901165; GO:0001701; GO:0001942; GO:0009966; GO:0010628; GO:0010629; GO:0000082; GO:0007165; GO:0032927","protein phosphorylation; cell surface receptor protein serine/threonine kinase signaling pathway; regulation of gene expression; regulation of cell migration; regulation of multicellular organismal process; negative regulation of cell differentiation; activin receptor signaling pathway; nervous system development; nodal signaling pathway; cellular response to growth factor stimulus; protein autophosphorylation; peptidyl-threonine phosphorylation; extrinsic apoptotic signaling pathway; negative regulation of ossification; negative regulation of cell growth; regulation of DNA-templated transcription; positive regulation of trophoblast cell migration; in utero embryonic development; hair follicle development; regulation of signal transduction; positive regulation of gene expression; negative regulation of gene expression; G1/S transition of mitotic cell cycle; signal transduction; positive regulation of activin receptor signaling pathway",25,"GO:0005524; GO:0004675; GO:0004672; GO:0005515; GO:0016740; GO:0046872; GO:0000166; GO:0004674; GO:0016301; GO:0046332; GO:0031625; GO:0048185; GO:0019838; GO:0034711","ATP binding; transmembrane receptor protein serine/threonine kinase activity; protein kinase activity; protein binding; transferase activity; metal ion binding; nucleotide binding; protein serine/threonine kinase activity; kinase activity; SMAD binding; ubiquitin protein ligase binding; activin binding; growth factor binding; inhibin binding",14,TRUE,TRUE
155,"DNMBP",0.129048106660685,"uncharacterised","dynamin binding protein","protein_coding","10",99875577,100009947,"GO:0035556; GO:0008360; GO:0051056; GO:0060271","intracellular signal transduction; regulation of cell shape; regulation of small GTPase mediated signal transduction; cilium assembly",4,"GO:0005515; GO:0005085","protein binding; guanyl-nucleotide exchange factor activity",2,TRUE,TRUE
156,"FOSB",0.117359920244444,"apoptosis","FosB proto-oncogene, AP-1 transcription factor subunit","protein_coding","19",45467995,45475179,"GO:0006355; GO:0006357; GO:0000122; GO:0071277; GO:0001975; GO:0006366; GO:0007565; GO:0009410; GO:0009612; GO:0032570; GO:0032870; GO:0035094; GO:0042220; GO:0043278; GO:0045471; GO:0045944; GO:0048148; GO:0051412; GO:0051591","regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II; negative regulation of transcription by RNA polymerase II; cellular response to calcium ion; response to amphetamine; transcription by RNA polymerase II; female pregnancy; response to xenobiotic stimulus; response to mechanical stimulus; response to progesterone; cellular response to hormone stimulus; response to nicotine; response to cocaine; response to morphine; response to ethanol; positive regulation of transcription by RNA polymerase II; behavioral response to cocaine; response to corticosterone; response to cAMP",19,"GO:0003677; GO:0003700; GO:0005515; GO:0000978; GO:0000981; GO:1990837; GO:0001228; GO:0003690; GO:0043565","DNA binding; DNA-binding transcription factor activity; protein binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; sequence-specific double-stranded DNA binding; DNA-binding transcription activator activity, RNA polymerase II-specific; double-stranded DNA binding; sequence-specific DNA binding",9,FALSE,FALSE
157,"SPAG9",0.112885700453881,"uncharacterised","sperm associated antigen 9","protein_coding","17",50962174,51120926,"GO:0030335; GO:0000165; GO:0016192; GO:0032418; GO:0042147; GO:0043410; GO:0045666; GO:0051146; GO:0045665; GO:1903860","positive regulation of cell migration; MAPK cascade; vesicle-mediated transport; lysosome localization; retrograde transport, endosome to Golgi; positive regulation of MAPK cascade; positive regulation of neuron differentiation; striated muscle cell differentiation; negative regulation of neuron differentiation; negative regulation of dendrite extension",10,"GO:0005515; GO:0005078; GO:0019894; GO:0030159; GO:0008432; GO:0042802","protein binding; MAP-kinase scaffold activity; kinesin binding; signaling receptor complex adaptor activity; JUN kinase binding; identical protein binding",6,TRUE,TRUE
158,"KIR2DL2",0.109117339097788,"immune","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2","protein_coding","HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1",113614,128147,NA,NA,NA,NA,NA,NA,FALSE,FALSE
159,"CABLES2",0.101669843667535,"apoptosis","Cdk5 and Abl enzyme substrate 2","protein_coding","20",62388630,62407303,"GO:0051726; GO:0051301","regulation of cell cycle; cell division",2,NA,NA,NA,FALSE,FALSE
160,"ABCG1",0.100935518415496,"metabolism","ATP binding cassette subfamily G member 1","protein_coding","21",42199689,42304389,"GO:0055085; GO:0006869; GO:0034204; GO:0033344; GO:0050714; GO:1990961; GO:1902004; GO:0008203; GO:0034375; GO:0043691; GO:0032367; GO:0033700; GO:0055091; GO:0034374; GO:0090181; GO:0033993; GO:0034436; GO:0042987; GO:0030301; GO:0071403","transmembrane transport; lipid transport; lipid translocation; cholesterol efflux; positive regulation of protein secretion; xenobiotic detoxification by transmembrane export across the plasma membrane; positive regulation of amyloid-beta formation; cholesterol metabolic process; high-density lipoprotein particle remodeling; reverse cholesterol transport; intracellular cholesterol transport; phospholipid efflux; phospholipid homeostasis; low-density lipoprotein particle remodeling; regulation of cholesterol metabolic process; response to lipid; glycoprotein transport; amyloid precursor protein catabolic process; cholesterol transport; cellular response to high density lipoprotein particle stimulus",20,"GO:0005524; GO:0016887; GO:0140359; GO:0000166; GO:0042803; GO:0005515; GO:0046983; GO:0046982; GO:0019534; GO:0015485; GO:0005543; GO:0090554; GO:0140328; GO:0043531; GO:0034041","ATP binding; ATP hydrolysis activity; ABC-type transporter activity; nucleotide binding; protein homodimerization activity; protein binding; protein dimerization activity; protein heterodimerization activity; toxin transmembrane transporter activity; cholesterol binding; phospholipid binding; phosphatidylcholine floppase activity; floppase activity; ADP binding; ABC-type sterol transporter activity",15,FALSE,FALSE
161,"FRMD4B",0.0980521382870453,"uncharacterised","FERM domain containing 4B","protein_coding","3",69168782,69542583,"GO:0090162","establishment of epithelial cell polarity",1,NA,NA,NA,TRUE,TRUE
162,"RPGRIP1",0.0942958886789729,"uncharacterised","RPGR interacting protein 1","protein_coding","14",21280083,21351301,"GO:0007601; GO:1905515; GO:0046548; GO:0042462; GO:0060041; GO:0061351","visual perception; non-motile cilium assembly; retinal rod cell development; eye photoreceptor cell development; retina development in camera-type eye; neural precursor cell proliferation",6,"GO:0005515","protein binding",1,TRUE,TRUE
163,"CCDC146",0.0874765375899374,"uncharacterised","coiled-coil domain containing 146","protein_coding","7",77122434,77329533,"GO:0030154; GO:0007283; GO:0007286; GO:0007288; GO:1905198; GO:0000902; GO:0006997; GO:0007338; GO:0008283; GO:0010467; GO:0030317; GO:0044782","cell differentiation; spermatogenesis; spermatid development; sperm axoneme assembly; manchette assembly; cell morphogenesis; nucleus organization; single fertilization; cell population proliferation; gene expression; flagellated sperm motility; cilium organization",12,"GO:0005515; GO:0044877","protein binding; protein-containing complex binding",2,TRUE,TRUE
